,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02
BHP,0.07081962,0.047089636,-0.00393188,0.018296123,0.052663535,0.09527993,-0.049972296,-0.0053272843,0.07079041,0.0030475855,-0.029277325,0.052612126,0.04565376,-0.009690464,0.020861208,0.11471164,0.037368,-0.03047502,0.037767023,0.13776934,0.014606833,-0.022692502,0.119212836,-0.027344704,0.07047543,0.1937809,0.17506796,0.09647128,0.030839592,0.069755435,0.057921022,0.008024514,0.050094277,0.15754169,0.015978485,0.00023469329,0.026928157,0.1544033,0.076277435,0.06723866,0.026202798,0.060629457,0.062133163,-0.047199786,0.0077764094,0.020263284,0.028226703,0.037657946,0.110521436,0.11160639,0.14811063,0.037548423,0.008561969,-0.010030508,0.006823063,0.05915007,0.040482044,0.032067776,0.028636307,0.042619556,0.04740295,0.019531041
COST,0.05048147,0.04938048,0.027310431,0.035295933,0.03212425,0.0005867481,0.015169412,0.06266436,0.04099822,0.06183943,0.05086133,0.029176325,0.03160414,0.044431478,0.10078907,0.06922814,0.06322718,0.012832284,0.023838103,0.011323661,0.05473107,0.031747878,0.032563448,0.03557521,0.05223596,0.08727193,0.06474692,0.0033307374,0.009979606,0.025211692,0.030875444,0.044780165,0.075876504,0.07485342,0.053277075,0.066010684,0.04285717,0.10174632,0.1292099,0.00143978,0.11003533,0.07859576,0.108731,0.027554065,0.035473287,0.028391749,0.03149271,-0.004451394,0.06493965,-0.03856325,0.025860578,0.06581682,-0.007032156,0.01369223,-0.006487131,0.018917263,-0.015940249,0.004997641,0.047059298,0.050723225,0.061671376,0.07179755
CRM,0.08369666,0.02022016,0.017724872,0.04892367,-0.01766646,0.0692575,0.036427706,-0.0080369115,0.020460367,0.00085762143,0.0036152303,0.007954568,-0.005248964,0.10468003,0.14117327,0.08819196,0.09300545,0.13257891,0.07268554,0.01774609,0.08221072,0.1588172,0.24157906,0.16814288,0.06752342,-0.038088143,0.039095074,0.11557627,0.010074049,-0.053901315,0.01760891,0.13353011,0.036628038,0.04012665,0.06689492,0.10500407,0.09339291,0.078101814,0.07972428,0.05373791,0.05662799,0.023602635,0.07555947,-0.027953446,0.019632548,0.14850351,0.12169707,-0.11219156,-0.02145511,-0.010261178,0.09388533,0.111882895,0.07817119,0.11724448,0.0426991,0.062247425,0.04165542,0.031311035,0.046128064,-0.022282422,0.100343496,0.09114143
CSCO,0.07160726,0.027568072,0.044080794,0.077669024,0.00087943673,0.069004565,0.02210024,-0.024368227,0.05785802,0.04644087,-0.002252698,0.005319655,-0.04578811,0.059387356,0.04720363,0.0627445,0.06954834,-0.0046091676,-0.00056660175,0.0065680146,0.002263248,0.0048395097,0.11267504,-0.037611246,0.04867798,0.07142058,0.08474469,0.06540111,0.0410814,0.08240166,0.016525984,0.027452677,0.047669142,0.16188478,0.041933358,0.07814497,0.020489156,0.061672896,0.09401688,0.021006733,0.031743616,0.10684767,0.082387626,-0.02468884,0.025143772,0.02202344,-0.003704846,0.045145184,0.0626556,-0.020846307,0.04284489,0.03473738,-8.3863735e-05,-0.005154431,0.030642927,0.045369238,0.043561906,0.06521329,0.005872339,0.015122354,0.007000178,0.046342343
CVX,0.084518045,0.004463285,0.023094237,0.026707739,0.0040951967,0.026093125,-0.02025628,0.009966135,0.009903491,-0.0081548095,-5.3346157e-05,0.012504816,0.00059327483,0.022842169,0.04568425,0.07138932,-0.023602426,-0.015422165,0.027758628,0.001750052,-0.0015509725,-0.020626187,0.09543106,-0.02600354,-0.053689003,0.102817744,0.049069673,0.11270872,0.12985915,0.07188648,0.040183097,0.008834839,0.099078804,0.06446025,0.004029095,0.0445053,0.013206661,0.13101012,0.08861795,0.09700778,0.14214927,0.105116665,0.1833969,0.04879996,0.064100325,0.11547494,-0.0100031495,0.08098945,-0.020595372,0.0032982826,0.048682064,0.04057628,-0.046750307,0.02848351,-0.0022534132,-0.036626816,0.020984888,0.07558921,0.044690013,0.04845938,0.04007697,0.018320382
GOOG,0.12725997,0.06914988,0.07799119,0.052136034,0.0017899573,0.055909038,0.013995141,-0.0366382,-0.01639694,0.013798207,0.026679337,0.014459699,0.030422717,0.036861032,0.054868042,0.055879653,0.046991765,0.07020679,0.043047518,0.038029343,0.018780142,-0.033128142,0.052267104,0.11362648,0.027054936,0.07372999,0.136857,0.08762199,0.06734374,0.09708816,0.038832545,0.10190371,0.049652815,0.18028921,0.070509076,0.11521834,0.023456395,0.020132363,0.0550462,-0.04898089,0.057486385,-0.027430356,0.055520207,-0.0034867525,0.0053856373,0.0905799,0.092564225,-0.033466935,-0.004519999,-0.016443133,-0.010653675,0.0028101802,0.0069057047,0.059760213,0.07687527,0.09836751,0.048407167,0.0133292675,0.16272604,0.044738382,0.04303533,0.045632094
GOOGL,0.13456881,0.07041794,0.07436511,0.046432704,0.0010435581,0.06126514,0.0070289075,-0.051963985,0.015803427,0.0036792755,0.046479642,-0.00759393,0.033419967,0.030587345,0.05961454,0.0480752,0.06461865,0.060735226,0.039595127,0.03601262,0.014485508,-0.038000822,0.05576682,0.12640914,0.040606648,0.0780251,0.14562923,0.12656146,0.0509229,0.096719265,0.022572517,0.09325987,0.07051197,0.11646092,0.0509834,0.107844114,0.013722211,0.041136116,0.05874607,-0.046191454,0.062325925,-0.025755823,0.07852277,0.0010860264,-0.0031163692,0.094631076,0.07030246,-0.040772915,0.028052777,-0.008591771,-0.032031655,0.055120647,0.0036034882,0.08520898,0.07159132,0.11835903,0.09833634,0.063011736,0.16994807,0.026939541,0.03763324,0.05515614
HD,0.07725465,0.06904936,0.0752078,0.05115086,-0.042985618,0.008104503,-0.028331578,-0.012459636,0.040043354,0.017872036,0.07006535,0.07060379,0.06865087,0.08342332,0.1647051,0.1426273,0.09526366,0.116794944,-0.023141801,-0.009813428,0.06565428,0.020519793,0.051635534,0.104509324,0.020171702,0.0126389265,0.058882624,0.011888653,0.032564223,0.009265095,-0.00018829107,0.017077982,0.010159224,0.018683195,0.024412751,0.071410686,0.042782128,0.10327551,0.049724102,-0.018899858,-0.025957584,-0.026995718,-0.031044602,-0.024104416,0.025004983,0.05913502,0.07335064,0.033996522,0.06140998,-0.012516677,0.048728526,0.0045199096,-0.020877302,0.011933863,-0.00031751394,0.037691444,0.023096323,0.013804197,0.074790716,0.02953887,0.10418025,0.08711669
HSBC,0.04411918,0.04307267,-0.020269811,-0.001162827,-0.027898252,0.01686132,0.020418108,0.014694005,0.052127153,0.0031908453,-0.0045381784,0.005091876,0.006574273,0.0045514703,0.026395112,0.074732006,0.02975896,0.0015193224,-0.03717923,0.012695938,-0.035863817,-0.02105087,-0.033761084,0.08063975,-0.02375698,0.1320686,0.09626576,0.12055665,0.024044305,0.06438041,0.042585105,0.046781093,0.18315214,0.032027185,0.024010092,0.0069817603,-0.009412944,0.120174855,0.1400497,0.093409985,0.020374298,-0.0024722219,0.009492904,-0.04349363,0.03848946,0.112773985,0.029058188,0.011249155,0.11653796,0.09652814,0.09002891,0.1314063,0.05829081,0.052491605,0.04752612,0.0615184,0.07694912,0.03830743,0.04259163,0.06451535,-0.00551641,0.024425238
INTC,0.097489,0.018677533,-0.059072435,0.025745839,0.0662711,0.09874678,0.004719883,-0.049019158,0.029237181,0.05140522,0.021995515,0.022874087,-0.035758317,0.06391996,0.11518487,0.12859932,0.09159234,0.018644035,0.10371405,0.19492406,0.04684779,-0.007563889,0.022328943,0.01900208,-0.0034398437,0.07951611,0.12106788,0.027994514,0.10260156,0.005881369,0.0017731786,0.06071824,-0.017577112,0.04585889,0.0782941,0.124411166,0.006464362,0.029532641,0.013085067,-0.09236765,0.041896522,0.06048864,0.105742306,0.006766826,0.02072975,0.019189686,-0.09534353,-0.00017976761,0.022919,0.013278931,0.07202414,0.011586994,0.0063357353,0.06520477,0.019343525,0.07413757,0.050132155,0.064379245,0.07801676,-0.016718805,0.08504146,0.1349397
