,Pearson_RF_MV,Shrink_RF_MV,Rvine_RF_MV,Cvine_RF_MV,Dvine_RF_MV,Pearson_XGB_MV,Shrink_XGB_MV,Rvine_XGB_MV,Cvine_XGB_MV,Dvine_XGB_MV,Pearson_RF_CVaR,Shrink_RF_CVaR,Rvine_RF_CVaR,Cvine_RF_CVaR,Dvine_RF_CVaR,Pearson_XGB_CVaR,Shrink_XGB_CVaR,Rvine_XGB_CVaR,Cvine_XGB_CVaR,Dvine_XGB_CVaR,Non-Norm_Rvine_RF_CVaR,Non-Norm_Cvine_RF_CVaR,Non-Norm_Dvine_RF_CVaR,Non-Norm_Rvine_XGB_CVaR,Non-Norm_Cvine_XGB_CVaR,Non-Norm_Dvine_XGB_CVaR,ML_un_Rvine_RF_CVaR,ML_un_Cvine_RF_CVaR,ML_un_Dvine_RF_CVaR,ML_un_Rvine_XGB_CVaR,ML_un_Cvine_XGB_CVaR,ML_un_Dvine_XGB_CVaR,ML_un_Non-Norm_Rvine_RF_CVaR,ML_un_Non-Norm_Cvine_RF_CVaR,ML_un_Non-Norm_Dvine_RF_CVaR,ML_un_Non-Norm_Rvine_XGB_CVaR,ML_un_Non-Norm_Cvine_XGB_CVaR,ML_un_Non-Norm_Dvine_XGB_CVaR,Market Cap,Equal_Weight,Benchmark
2020-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03,0.9940130986394464,0.9919844072085724,0.9924915405094176,0.9940720339183012,0.9917328530469648,0.9944112102210084,0.9918832335945388,0.992846952128322,0.9943917136901936,0.9919961379514676,0.9937930878225476,0.9930105511057836,0.9911623256932348,0.993210212735314,0.9908632390369132,0.9947988736987092,0.993403668684511,0.9916654876065468,0.994767735155508,0.9900838395931092,0.9902482099012108,0.992633090665936,0.9905486675842406,0.9912577540870148,0.9929112441783642,0.9899885750888122,0.9973234132656844,0.9986751040076884,0.9943020678702267,0.9977232080762692,0.9984899227787737,0.9941864868775552,0.9976508132217332,0.9981722969996034,0.9948120340963484,0.9967472313560288,0.9995391470579544,0.9951221539263492,0.9898927690946948,0.9910111706159136,0.9929401294379546
2020-01-06,0.9968542600637208,0.99560704558042,0.9986750537127916,1.000891223839336,0.9966850828193132,0.9973977037366404,0.9954795559895376,0.9990293848419864,1.0010416181078032,0.996582577966235,0.9962440512255462,0.9960020863880372,0.9973071799399872,0.9994005768363,0.994854484597687,0.9971063807791004,0.9967702894444396,0.9975467884667936,1.0010823515578342,0.9935498482889455,0.9949051931707316,0.9985511883597312,0.994472119624231,0.9964043736458346,0.9980019004186708,0.9934847360910596,1.0053632403272226,1.0070471602827873,0.9987286090207653,1.0045237257246116,1.0056099490893409,0.99749708105236,1.005988592111844,1.005136293834595,1.000116438118868,1.0031620272522932,1.0067845602792356,1.00069555888955,0.9936550300279424,0.9954157034894784,0.996448557173426
2020-01-07,0.9939329977564454,0.9911251142837764,0.995743417423942,0.9995331261565976,0.9947278909767858,0.9950950304703604,0.9909803793472812,0.996428063526895,0.99992403014766,0.9950455509411712,0.993636051202623,0.9915563540438264,0.9921861324372238,0.9962111892230868,0.9921303443961884,0.995589343689532,0.992782339778188,0.9934756342327252,0.999971465231228,0.9906255072657654,0.9908590112344832,0.9943176460800338,0.9914552970076776,0.9931001431402632,0.9951770960794658,0.990247985525008,1.0066435286669924,1.010170679065906,1.0015615107106315,1.0074928439511996,1.009791589163742,1.000586390845713,1.0077612175290622,1.0088847912564496,1.000901554310062,1.0054994771112367,1.0115701904663637,1.0033235457977845,0.9889879586132518,0.9932047632763612,0.9936552740623348
2020-01-08,0.9960039668525348,0.9972801400523664,1.004730969946203,1.008525056639587,1.0042040847204172,0.99906542755094,0.9974577902756911,1.0058890473003317,1.0094206016165388,1.0044765713589163,0.9985850137878928,0.9954130557862988,1.0004641684843292,1.0058570804119886,1.0023342857723818,1.000678745119942,0.9966125197003616,1.0031664901759323,1.0109786142959316,0.9999989904517445,0.9995256501834812,1.0036861810320108,1.0011943438106856,1.0030581251421855,1.0052174946908614,0.999179489851774,1.019811975634358,1.0213711978576332,1.0116116234751253,1.0197208642207392,1.021401035998558,1.0092489214900344,1.0214347510311423,1.0202439850098,1.0104085918287802,1.0173104969307452,1.0252058414802274,1.0147098341317662,0.995961762334888,0.9982694082656668,0.998526620720954
2020-01-09,1.0001380882828268,1.0033080396997345,1.008009524917436,1.011508578763222,1.0068828592001844,1.003476151218868,1.003816897945102,1.0090944289817303,1.0123561618478836,1.0068567477152168,1.002675710791568,1.0005079436619286,1.0055915691246595,1.010585729880894,1.006688982025059,1.004300950384699,1.0015622167253415,1.0075386618693083,1.0139607964951978,1.006140528628756,1.0049958840843027,1.007806555007614,1.0056336889911883,1.007771017935056,1.008363505862321,1.0034970662276028,1.0185028876659712,1.0194153637566217,1.009768477280691,1.0177335220189128,1.0190623131761862,1.0063133643489477,1.0203519004417216,1.0179310597628892,1.0098408605163376,1.0161690214253976,1.0219274143183592,1.0135043998141902,1.0031227484524998,1.0036158069324277,1.0051720776004234
2020-01-10,0.9961137567122824,0.9996423202025988,1.003100766448978,1.007870968177402,1.0030146276296936,1.000837981848301,1.0003608910340946,1.0042600474760397,1.0087909380427569,1.0026919590647956,1.0027522606371613,0.9966686679714148,1.0008888502652191,1.0074108399284118,1.0031307806687162,1.0035504435974454,0.997554795297298,1.002844082529296,1.010222765033099,1.0035448454160771,1.000286729681397,1.0046493761881048,1.0016758205625151,1.003947854685386,1.0055542492932443,0.9994310834905896,1.0144377355729757,1.0153278157944767,1.0040936645418226,1.0125289356308889,1.0142040952598954,1.000390975958189,1.0155989274469277,1.0143574581263903,1.0050206969646949,1.0104877107085317,1.017603387683096,1.007806261560732,0.9996167272753642,0.9995973475423364,1.0023021317050147
2020-01-13,0.9973751232133252,1.0029379839641013,1.0085274564326834,1.0188810640976609,1.0096925800473513,1.002914684402475,1.0037456064968762,1.0102932701157747,1.0203336959964753,1.009795980338751,1.0049797537480958,0.998068561104657,1.004466371902894,1.0154942469975308,1.0083166094977465,1.0071911811670973,0.999161426313477,1.0073927573533354,1.020769678642694,1.007984091380144,1.0037982514325443,1.013006856301188,1.0074724599471083,1.0068376470019509,1.0137774074701975,1.0041271883934764,1.0292044707884729,1.0326037977792166,1.0171223876935176,1.028185755169281,1.0335960407000984,1.0125258506332795,1.030245255976026,1.0327657593352204,1.014708506259169,1.0241517779546478,1.0382980202250178,1.0210992772430485,1.0081864575454278,1.0095150699955646,1.0092944071238985
2020-01-14,0.9999512401001808,1.0038772080853815,1.0106676035975293,1.020285252014889,1.012069366469838,1.0063004923210983,1.004474572841401,1.0125315406418598,1.0218875281933,1.0117576085568651,1.010528596085324,0.999981794367618,1.004558531947859,1.0154602882815238,1.0094573148241786,1.0112193891637498,1.001061972083006,1.0084171346434565,1.0222417429745638,1.00881527039336,1.0043093812806685,1.0131652979157668,1.008471550081706,1.0079738023616542,1.0147844474350711,1.0049988149070117,1.036312779971819,1.0386723715563684,1.0205859936248676,1.0339394845317174,1.038411506566176,1.0137652263712245,1.0374779822804734,1.0394210286464165,1.0188918217239875,1.0293789795049788,1.0453291654110406,1.0235612616262504,1.0069988475369251,1.008977622591503,1.0077657976669034
2020-01-15,1.0057868301109794,1.0101439576413855,1.0153539701133725,1.0240496497363123,1.017474840760011,1.01419780653666,1.011101805318806,1.0170694617609808,1.0256462234716677,1.0174272762747925,1.0193388885149215,1.006304205370162,1.011313287827341,1.022191698618273,1.014903688039774,1.0231877719768177,1.0071867964682004,1.0138414387989394,1.0268265758276884,1.0155791673984804,1.0094326960967932,1.0203897041063033,1.0135646681197137,1.0142406855563872,1.0218795408104886,1.010468673962657,1.0392591150995945,1.0387222569722208,1.0248270069529648,1.0362644442655715,1.040399171953291,1.0217511109547175,1.0399689766468956,1.0404143971592683,1.02430691318166,1.0317538790792384,1.0445355394031832,1.0289126906850246,1.00986973899487,1.0115736590250353,1.009650518122018
