,Pearson_RF_MV,Shrink_RF_MV,Rvine_RF_MV,Cvine_RF_MV,Dvine_RF_MV,Pearson_XGB_MV,Shrink_XGB_MV,Rvine_XGB_MV,Cvine_XGB_MV,Dvine_XGB_MV,Pearson_RF_CVaR,Shrink_RF_CVaR,Rvine_RF_CVaR,Cvine_RF_CVaR,Dvine_RF_CVaR,Pearson_XGB_CVaR,Shrink_XGB_CVaR,Rvine_XGB_CVaR,Cvine_XGB_CVaR,Dvine_XGB_CVaR,Non-Norm_Rvine_RF_CVaR,Non-Norm_Cvine_RF_CVaR,Non-Norm_Dvine_RF_CVaR,Non-Norm_Rvine_XGB_CVaR,Non-Norm_Cvine_XGB_CVaR,Non-Norm_Dvine_XGB_CVaR,ML_un_Rvine_RF_CVaR,ML_un_Cvine_RF_CVaR,ML_un_Dvine_RF_CVaR,ML_un_Rvine_XGB_CVaR,ML_un_Cvine_XGB_CVaR,ML_un_Dvine_XGB_CVaR,ML_un_Non-Norm_Rvine_RF_CVaR,ML_un_Non-Norm_Cvine_RF_CVaR,ML_un_Non-Norm_Dvine_RF_CVaR,ML_un_Non-Norm_Rvine_XGB_CVaR,ML_un_Non-Norm_Cvine_XGB_CVaR,ML_un_Non-Norm_Dvine_XGB_CVaR,maxSharpe,minCVaR,Market Cap,Equal_Weight,^TWII
2022-12-15,1.1712003895857543,1.1406844182730351,1.7728664815340265,1.6582597464416897,1.5707836103358706,1.5594035150186212,1.1587599957413801,1.805248977834715,1.692077286608628,1.5992508729226775,1.1694022723798523,0.9979873177636704,1.3669153184953013,1.3562651333338145,1.3021757643596268,1.8934720348441083,0.9976917241565642,1.3716121631044993,1.3203557206974932,1.3149714027227788,1.3880888536124965,1.3193590641967499,1.2380884619471562,1.4231315944785172,1.351997270131345,1.314279712817236,1.7572780264447372,1.6562434976148008,1.5196925439989346,1.8359773488821411,1.8832806962828768,1.8184753679315024,1.6684449069008231,1.599190853484212,1.575600291095204,1.9448047974401785,1.819204083658753,1.8229582799987996,1.400949162035657,1.170967925286437,1.3216252431918656,1.4626006895613202,1.2176483339536814
2022-12-16,1.1680933126553257,1.1378571518726002,1.7644951408417198,1.6499511993175446,1.5613485303656416,1.5552665742100056,1.155887927753384,1.7967247294576931,1.683599300030439,1.5896448012911701,1.1618180240640084,0.9956431843068174,1.3617448658306128,1.351635224758029,1.2950386234731803,1.8871775800554,0.9945401342305206,1.3682192846064143,1.3166525244197091,1.3102933719453238,1.3819909633233753,1.314558737627971,1.2315917074992484,1.418451328951197,1.348544654203428,1.3093221281359515,1.745838779892554,1.648373184771163,1.5077521710525155,1.8292560694552986,1.8790184949566828,1.8100963359197493,1.6593734786688903,1.5907356773711934,1.5636660285373174,1.9386959023402954,1.8156389885063946,1.8165925111442838,1.3972144998420808,1.1668845732350868,1.3012073820992998,1.4467189249098258,1.2006589194708501
2022-12-19,1.167042844299986,1.1359653307451287,1.7524918832199172,1.6384460772536389,1.5541520604267176,1.5538679202646193,1.1539661283437532,1.7845022249554385,1.6718595495083821,1.5823179099510414,1.16166063737815,0.9948488374327825,1.3548234395107446,1.3394780421592076,1.2877168888262613,1.880192693169576,0.9908962684973219,1.3580434782847404,1.3083628444680182,1.3056923835006427,1.3706186153924862,1.305278276320566,1.2264987477331315,1.4107596640818938,1.3380485277542296,1.306287101737076,1.7358068299267273,1.641500130884273,1.5026961053852288,1.8169433589074944,1.8665500302608378,1.8046387846175684,1.6489507410975983,1.5809728750217422,1.5593534367693274,1.9254696381194236,1.8043081831440118,1.8085099183817246,1.3960366422009345,1.1677354003563076,1.2930158718623002,1.4404804114776204,1.192789026003939
2022-12-20,1.161441131719143,1.1303196029161335,1.7101259458077844,1.5969150148269715,1.5179501593145655,1.5464094781684887,1.1482309368654757,1.741362447648529,1.6294815278675125,1.5454599229093444,1.158627997886692,0.9902747703245252,1.3211106393043712,1.310112257110658,1.258340039549181,1.8691179873385106,0.986353921703855,1.3253744332456399,1.2760390564856132,1.2727746448244583,1.3386249258069267,1.2748745002814847,1.1964402367057358,1.3734521702334659,1.3066815870454396,1.2720144810634728,1.6943002662300042,1.6009070797859262,1.4673276762801712,1.772815204763533,1.8208295494481812,1.7623725673586426,1.6099207163477287,1.5425484118329074,1.5231065155931531,1.8800560408427145,1.760521741781332,1.765542541534958,1.3893441380085663,1.1617487397634176,1.2713162781338667,1.4127797026157063,1.171030382639119
2022-12-21,1.1649232018006925,1.1342979809517217,1.7241044568054689,1.6055447791385928,1.5290387702657873,1.5510457064117444,1.1522723572984428,1.7555962847440254,1.6382872823410284,1.5567494924124599,1.160287407131586,0.9930681429655192,1.330583189080443,1.3171553929642004,1.2662725834335697,1.8783543614933162,0.9903825990272289,1.3372492194502883,1.2825859866454128,1.2813885125126696,1.3479595324904834,1.2829155039939555,1.20515866250425,1.3835382131155167,1.314166254578574,1.280049540903623,1.7069168138609838,1.6085084635660425,1.475067453089977,1.7860223486988223,1.8308517948314114,1.7739483770637692,1.6211127284480178,1.5501590954661209,1.5306514192398644,1.8926995836097023,1.7727170566296828,1.7771263160269832,1.3934487032616358,1.1642599528886677,1.2756864461733606,1.416977083755745,1.1763500158019293
2022-12-22,1.1764757225526519,1.1453042642240818,1.7343356557766663,1.6108630293560713,1.5403889899969299,1.5664273965376354,1.1634530489547004,1.7660143628549025,1.6437139897171236,1.56830541182329,1.1730050315368357,1.0024615745045233,1.3387965988358532,1.322398084202442,1.2787712937917948,1.8973750724837928,1.0003268460541226,1.3475382393322373,1.2900136655281111,1.2931984676257229,1.3563988059149317,1.289695211967426,1.2153407789547137,1.3933365331708243,1.320776316763577,1.2888769978407228,1.7147791739175378,1.610044039475302,1.4849449969618422,1.800071883347399,1.8401856972414445,1.7934315868981967,1.6303943563230927,1.5525287156051304,1.5418722902577577,1.9083951580375271,1.7838117128543636,1.795121121320262,1.407279641937482,1.1756150672768702,1.2954381197274363,1.4325480284589724,1.1935840454424105
2022-12-23,1.1719718221635287,1.140663560230333,1.7130936119716276,1.5961304039892956,1.5198955889531913,1.560430644691799,1.1587388071767906,1.7443843200594715,1.628680916153873,1.5474406095088924,1.16877254486192,0.9982546175097688,1.3227980824966845,1.310457784163151,1.260143778535486,1.8876014126204133,0.9962098335218733,1.3289795805857587,1.2769558723002954,1.2740751126428762,1.3391507269027956,1.2768426627855314,1.1967246007370822,1.3744075943691239,1.3081385281945481,1.2703632557981273,1.695122565746369,1.596218983313594,1.4657671664843657,1.7744228180226151,1.822558965692718,1.7662461847150919,1.6120736744636732,1.5390627145789388,1.5214501443306572,1.883814296177684,1.7638273240531892,1.7701908409971194,1.4018998924486534,1.1712192090749132,1.2745513451287669,1.4192884717740162,1.1794267111681709
2022-12-26,1.1726890628410256,1.1416476985323085,1.7022003266649055,1.5836218262437785,1.507786360861473,1.5613856201541954,1.1597385403863778,1.7332920621990793,1.6159172460856674,1.5351119262525401,1.1708328091654459,0.9991596181560444,1.3142099245351384,1.3017169763103096,1.2504399182230712,1.889218146434524,0.997806794631276,1.3193896111972936,1.2653167286237312,1.2625961820913183,1.3298000821302254,1.2675435504810035,1.1870015746509657,1.3638083256652085,1.2970115075003728,1.2580611713000394,1.6867703624085055,1.5842686026456048,1.4554187991577947,1.7598710709664231,1.8054391351817556,1.7518739329085657,1.6023456273426888,1.529463412178965,1.5115558753810538,1.867941313833912,1.7473257240364521,1.7546065134005173,1.4027414421093882,1.1714341735022153,1.276761697898964,1.419341959631222,1.1805423693467751
2022-12-27,1.174291974351794,1.1429782427709985,1.7040641905285248,1.585039790585346,1.5103786290008006,1.5635198286691363,1.1610901687698814,1.735189970682131,1.6173641275291422,1.5377511739868497,1.1730972922047447,1.0006509530809615,1.3154791571378162,1.302576225367704,1.2519695652836427,1.8908617504794663,0.9989979188373,1.3204108540374762,1.2664897149438479,1.2638473884477142,1.3313187562362885,1.2681838954961375,1.188584210986803,1.3649583238055365,1.297822365877337,1.259801725442422,1.6893527200008516,1.5870229714692092,1.4587857662601984,1.761622889470605,1.8067566743047778,1.755125262553664,1.6050800584217868,1.5309926867293744,1.51467041727112,1.8697379682389015,1.7489821491196207,1.7564277526327765,1.4046887413245799,1.1732022214027722,1.2798799000943408,1.4248427451742398,1.1841207235120765
2022-12-28,1.1720965014774487,1.1407577113379148,1.6790284196170198,1.5554898616350377,1.486174201930011,1.5605966498964643,1.1588344502269392,1.7096969060221283,1.5872115753098608,1.513108090835965,1.1744754667431523,0.9987893593163277,1.2956338485986043,1.2816539045364896,1.2348819401675226,1.88616715443109,0.9974018770656989,1.3016036248116816,1.2441350466395573,1.244015160442252,1.3127345340177559,1.247064301457726,1.1690665877513575,1.3436731322678366,1.275275201862911,1.2361866840284848,1.6647098298910705,1.554598012591764,1.4352371064092924,1.7362856003268698,1.7736296288134328,1.7318690202006441,1.5808166174002531,1.5025472007397518,1.4920867810696323,1.843613102445045,1.7178621634463154,1.7314711147987614,1.402054721799527,1.1709170523230827,1.2660578982310913,1.4079213172207174,1.1712840366940491
